tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
87,2025-07-27,0.20320388382741555,0.16098409418401194,1.6129896792139626,1.1817127529123712,1.0160194191370777,0.8049204709200597,2433803738.851242,3988.38488356125,0.39639345187494934,2547.0893408750217,2562.241530481984
88,2025-07-28,0.2029401418858859,0.1586944888221437,1.61499707129394,1.183723410282429,1.0147007094294296,0.7934724441107185,2435230908.1905212,3989.554095835546,0.3960395002622039,2547.1790329519904,2562.3312225589525
89,2025-07-29,0.2029401418858859,0.1586944888221437,1.61499707129394,1.183723410282429,1.0147007094294296,0.7934724441107185,2445645257.5717907,3998.0757279737727,0.39345664225247656,2547.8319476416104,2562.9841372485726
90,2025-07-30,0.2030939004962412,0.15465877057741992,1.6179694888508829,1.1838572947362145,1.015469502481206,0.7732938528870995,2452891506.705246,4003.994334668873,0.3916595033310105,2548.284604007971,2563.4367936149333
91,2025-07-31,0.202599523956494,0.15546704262088756,1.6172429328366016,1.1828071303395866,1.01299761978247,0.7773352131044378,2460527104.9131246,4010.2215029472077,0.3897658021243131,2548.760137463837,2563.912327070799
92,2025-08-01,0.20255867930923116,0.15706513550255588,1.6308098611076025,1.1821351209769222,1.0127933965461557,0.7853256775127794,2468073457.0625033,4016.366400836457,0.387894234791619,2549.2286650982446,2564.3808547052067
93,2025-08-02,0.20224420945139124,0.15963892209690872,1.51016562130271,1.2808258265143944,1.011221047256956,0.7981946104845435,2453780358.7651362,4004.7197308485834,0.39143905953963176,2548.3400364356453,2563.4922260426074
94,2025-08-03,0.188581075169001,0.15888805919328083,2.140619017254827,2.6080346277891677,0.9429053758450049,0.7944402959664041,1490836351.3853724,3121.542637931968,0.6302583608061127,2472.1012737166648,2487.253463323627
95,2025-08-04,0.18860659244499506,0.16087638967811382,2.1406480719985344,2.607202515390649,0.9430329622249752,0.8043819483905691,1487293421.6910076,3117.8313035179,0.6311370411733614,2471.737240890518,2486.88943049748
96,2025-08-05,0.1886823088117834,0.16024227532176516,2.1025817204541872,2.6129031396449762,0.943411544058917,0.8012113766088258,1481153004.8647945,3111.3885314900076,0.6326599231318998,2471.1042598766044,2486.2564494835665
