replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
268,2004467219,True,,21,2025-05-22,0.27599611153688297,0.17645204641006484,0.9997921345144442,0.9886623288204887,1.3799805576844149,0.8822602320503242,True,384473564.81832194,1585.2126407708274,0.8877744926863139,2264.7529936715696,2279.9051832785317
269,575089408,True,,21,2025-05-22,0.28022745161297624,0.17484829601670274,1.001994110570366,1.0006018036802236,1.401137258064881,0.8742414800835137,True,565884195.5382923,1923.171732665123,0.8578833862944053,2323.8897001247797,2339.041889731742
270,1926882155,True,,21,2025-05-22,0.28018344811567764,0.17508045045675052,1.0014543005372092,0.9354759762098521,1.400917240578388,0.8754022522837526,True,538143150.8051004,1875.4400804766258,0.846644408298529,2316.19917785833,2331.3513674652922
271,2271334276,True,,23,2025-05-24,0.27981039209988884,0.1762785780439192,1.0006458885765817,0.9997223949771771,1.399051960499444,0.8813928902195959,True,593644018.0160358,1969.7782264871132,0.8543603578916246,2331.2169294423556,2346.3691190493178
272,2916901138,True,,47,2025-06-17,0.1977908024423126,0.1750411794371555,0.13781183707045458,2.4821395351554028,0.9889540122115629,0.8752058971857775,True,1082439471.7158158,2659.84356475945,0.7131535972780525,2423.1229124804972,2438.2751020874593
273,84718577,True,,20,2025-05-21,0.2809698618363368,0.17953588926445116,1.4441293547270655,0.2822820139702747,1.404849309181684,0.8976794463222557,True,718534175.4815927,2167.0952449150186,0.8136244894442685,2360.429743618035,2375.581933224997
274,1059743087,True,,19,2025-05-20,0.28010292691064054,0.1749971212887563,1.0001077113371728,1.0000424388181255,1.4005146345532027,0.8749856064437814,True,493242166.96048605,1795.4957568353188,0.8873039762704537,2302.869153835123,2318.0213434420853
275,3944506176,True,,23,2025-05-24,0.2797334398899693,0.17405360928335856,0.998379323619417,0.9978425973583086,1.3986671994498463,0.8702680464167928,True,454930121.8525265,1724.354803754784,0.8815060152037255,2290.4981192034966,2305.6503088104587
276,2170600074,True,,27,2025-05-28,0.18643981048089736,0.17383937188016133,0.18039205201030672,4.145104158534253,0.9321990524044867,0.8691968594008066,True,1094382986.622747,2674.4775149412735,0.7357009893235971,2424.801851532939,2439.954041139901
277,409574608,True,,18,2025-05-19,0.27488777732881664,0.1787318409357682,0.9866197150457051,1.013959875865739,1.374438886644083,0.8936592046788409,True,534814211.2707536,1869.6303700795727,0.8493332938717499,2315.2497843390092,2330.4019739459713
278,1685943613,True,,21,2025-05-22,0.2694227517101524,0.17590518149466872,1.0282257840743647,1.0327830926211097,1.347113758550762,0.8795259074733436,True,443448229.0049731,1702.455414376835,0.8879745768217232,2286.587015902885,2301.739205509847
279,272230552,True,,23,2025-05-24,0.2800123333948062,0.17486793010474364,1.0176755775318027,0.998389817437798,1.400061666974031,0.8743396505237181,True,681183644.5708456,2110.0191192189654,0.8362239533702133,2352.2624000271044,2367.4145896340665
280,2637425972,True,,23,2025-05-24,0.27999755271229854,0.17649470396279232,1.079102346314289,0.9996050112820764,1.3999877635614926,0.8824735198139616,True,558734980.5245402,1910.9847246400093,0.8727546963966609,2321.944428951737,2337.096618558699
281,3335253741,True,,21,2025-05-22,0.2902228540622857,0.17398598286045255,0.9869429025950203,0.9907947111860174,1.4511142703114284,0.8699299143022627,True,510646306.129809,1826.8983432046734,0.8815462457847029,2308.174723516684,2323.326913123646
